省份,性别,年龄,金额
福建,1,20,2
福建,1,20,0
海南,1,20,2
安徽,1,20,3
广东,1,20,7
江苏,1,20,2
广西,1,20,6
福建,1,20,3
河南,1,20,0
黑龙江,0,20,2
江苏,1,20,2
广东,1,20,2
新疆,1,20,1.75
新疆,1,20,1.5
江苏,1,20,0
广东,1,20,1.2
广东,1,20,1
广东,1,20,2.1
四川,1,20,1.1
陕西,1,20,1.1
福建,1,20,12.1
广东,1,20,1.1
广东,1,20,8
福建,1,20,1.1
山东,1,20,1.01
湖南,1,20,0
江苏,1,20,0
四川,0,20,4.01
四川,1,20,1.01
河南,1,20,3.01
广东,1,20,21
四川,1,20,1000
辽宁,0,20,2000
广东,1,20,310
广东,1,20,20000
河北,0,20,10000
广东,0,20,20000
浙江,0,20,800
四川,0,20,100
江苏,0,20,100
四川,0,20,100
上海,1,20,100
湖南,0,20,100
山西,0,20,100
河南,0,20,100
山西,0,20,200
江西,1,20,2004
天津,1,20,6001
四川,1,20,2001
上海,1,20,300
安徽,0,20,8500
山东,1,20,302
辽宁,1,20,5000
广东,1,20,600
湖北,1,20,100
福建,0,20,100
江苏,0,20,100
重庆,0,20,100
山东,1,20,100
北京,0,20,10000
河南,1,20,101
广东,1,20,1000
广东,1,20,100
江西,1,20,6000
山西,1,20,8000
山西,1,20,6012
四川,0,20,3000
陕西,0,20,25000
广东,1,20,100
浙江,0,20,100
广西,0,20,100
广东,1,20,100
广东,0,20,1200
河南,1,20,100
山东,0,20,100
广东,1,20,1000
山西,1,20,1000
山西,1,20,200
湖南,1,20,100
山东,0,20,100
广东,1,20,2000
山西,1,20,100
广西,0,20,100
安徽,1,20,100
黑龙江,0,20,500
浙江,1,20,1001
广东,1,20,20000
广东,1,20,500
河南,1,20,300
河北,0,20,100
河北,0,20,100
广东,0,20,100
浙江,0,20,100
浙江,0,20,100
辽宁,0,20,100
山东,1,20,100
上海,1,20,25000
山东,1,20,100
四川,1,20,501
广西,0,20,100
安徽,1,20,100
重庆,1,20,25004
福建,1,20,2000
江苏,1,20,200007
广东,0,20,20000
福建,1,20,100
江西,1,20,100
天津,1,20,6600
四川,0,20,100
甘肃,0,20,100
湖南,1,20,100
黑龙江,0,20,100
广西,1,20,100
山西,0,20,100
安徽,0,20,100
河南,1,20,101
福建,0,20,111
广东,1,20,207
福建,1,20,120001
北京,1,20,40000
陕西,1,20,2000
广东,1,20,500
浙江,1,20,10000
广东,1,20,500
广东,0,20,100
江苏,1,20,100
安徽,0,20,100
浙江,1,20,100
安徽,1,20,100
山东,0,20,100
广西,1,20,100
四川,1,20,100
广西,0,20,100
上海,0,20,100
江西,0,20,400000
广西,0,20,2000
江苏,0,20,1400
广东,1,20,20000
湖北,1,20,200
河南,1,20,500
北京,1,20,100
河北,0,20,100
广东,0,20,100
山西,1,20,100
辽宁,1,20,100
江苏,0,20,1000
广东,1,20,100
河南,1,20,100
山西,1,20,100
湖北,1,20,100
江苏,0,20,100
广东,0,20,100
山东,0,20,100
江苏,1,20,100
河南,0,20,101
湖北,1,20,60007
甘肃,1,20,2001
天津,1,20,1000
江苏,0,20,40000
福建,0,20,3000
河南,0,20,100
广东,0,20,100
湖南,0,20,100
河北,0,20,100
安徽,0,20,100
浙江,1,20,100
河南,1,20,100
广东,1,20,100
山东,1,20,100
山西,1,20,100
山东,0,20,100
广东,0,20,100
江苏,0,20,100
北京,1,21,523084.37
上海,0,21,0
云南,0,21,444534.21
浙江,1,21,537454.33
河北,1,21,334581.37
湖南,1,21,168618.77
江苏,1,21,161306
广东,0,21,171262.74
河北,0,21,150366.23
北京,0,21,240000
广东,1,21,139133
福建,1,21,191496
江苏,0,21,138812
上海,1,21,136078.11
广东,0,21,230481.37
安徽,0,21,207747.64
福建,1,21,124481.37
江苏,1,21,96508
福建,1,21,98716.37
河北,1,21,126318.46
上海,1,21,87101
广东,0,21,81991
吉林,0,21,72415.1
辽宁,0,21,70081.37
山东,1,21,68271.37
广东,0,21,54700
山东,1,21,292000
北京,0,21,53246.33
陕西,1,21,54418.73
山东,1,21,80174.25
北京,1,21,204846.44
福建,1,21,75044
北京,1,21,48900
安徽,0,21,55891.08
江苏,0,21,35000
云南,0,21,48017.37
山东,1,21,39195.01
河北,1,21,41000
北京,0,21,32595.27
广东,0,21,32150
吉林,0,21,40001
广东,1,21,30000
广东,0,21,26000
上海,1,21,36000
辽宁,0,21,34968.48
广东,1,21,44743.56
四川,1,21,28536.62
山东,1,21,33043.15
江苏,0,21,24641.21
浙江,0,21,21500
山东,1,21,30400
广东,1,21,40087.12
广东,0,21,20000
广东,1,21,40088.12
广东,1,21,20000
海南,0,21,30081.37
上海,1,21,5000
北京,0,21,7000
安徽,1,21,20000
广东,1,21,30000
广东,1,21,20652.3
四川,0,21,19900
重庆,1,21,34567.71
浙江,0,21,29993.19
上海,1,21,18800
北京,1,21,34526.41
广东,0,21,18273.36
甘肃,0,21,18183.72
北京,1,21,17500
广东,1,21,25366.08
广东,1,21,26962.41
浙江,0,21,19619.87
安徽,1,21,42081.37
江苏,1,21,23030.49
河南,1,21,16001
黑龙江,0,21,15800
湖北,1,21,45501
广东,0,21,15400
广东,0,21,15000
浙江,1,21,15000
四川,1,21,24662.27
江苏,1,21,14535
山东,0,21,24000.03
浙江,1,21,13600
江西,0,21,13490
上海,0,21,18221.78
山东,0,21,13049.09
河南,0,21,13000
安徽,0,21,22081.37
广东,0,21,11958
内蒙古,1,21,31901.53
河南,1,21,42217.57
广东,1,21,11100
上海,0,21,23322.27
江苏,1,21,21011
浙江,0,21,45
广东,1,21,10200
浙江,0,21,20081.37
山东,0,21,10000
天津,0,21,148060
黑龙江,1,21,9225
安徽,0,21,11301.44
江苏,1,21,11116.27
广东,1,21,13201
广东,1,21,8989.85
广东,0,21,17069.16
湖北,1,21,8500
浙江,1,21,7500
河北,1,21,24129
陕西,1,21,8050
福建,0,21,8000
河北,0,21,7603
北京,0,21,7900
黑龙江,1,21,13537.76
山西,1,21,7000
江苏,0,21,9000
广东,1,21,7000
吉林,0,21,7000
黑龙江,1,21,0
上海,1,21,6772
内蒙古,1,21,8597.96
北京,1,21,6500
安徽,0,21,6200.81
重庆,0,21,11050.22
安徽,1,21,10018.32
宁夏,1,21,6000
广东,1,21,5984.39
陕西,1,21,5549.06
福建,0,21,8285
四川,1,21,75001
江苏,1,21,10040.68
陕西,1,21,5000
山西,1,21,20040.68
山西,1,21,5000
安徽,0,21,5003
山东,1,21,25002
河北,1,21,10000
浙江,1,21,5000
湖南,0,21,5000
安徽,1,21,5000
上海,0,21,0
上海,1,21,4813
江苏,1,21,4500
广西,1,21,4300
福建,1,21,8521.22
广东,1,21,11019.65
天津,1,21,12000
山东,1,21,7705.01
云南,0,21,12700
广东,0,21,3504.73
山东,0,21,3500
上海,1,21,4100
河南,0,21,3308
辽宁,1,21,3083.75
江苏,0,21,6073.41
广东,0,21,4000
四川,1,21,7
上海,0,21,28000
黑龙江,0,21,2700
浙江,1,21,2610
广东,0,21,2550
山西,1,21,5020.34
安徽,0,21,2500
广东,0,21,2501
云南,0,21,2500
广东,0,21,2496
江苏,0,21,2420.8
云南,1,21,2308.95
湖北,0,21,2301
河南,1,21,2272
浙江,1,21,2000
浙江,1,21,2000
江苏,1,21,2000
山东,1,21,2000
四川,1,21,3000
湖南,1,21,2000
广东,1,21,10000
重庆,0,21,2003
江苏,1,21,2000
山东,1,21,2000
河南,1,21,1990
广东,1,21,1829
陕西,1,21,1700
广东,1,21,1554
浙江,1,21,1530
北京,1,21,2027.08
江苏,1,21,3502
四川,1,21,1521
湖南,1,21,0
山东,1,21,1500
浙江,0,21,2407.64
山东,0,21,1904.07
北京,1,21,0
广东,1,21,1400
重庆,0,21,1400.81
浙江,1,21,1600
浙江,0,21,1200
山东,1,21,0
山东,0,21,1003
湖北,0,21,1000
上海,1,21,3000
广东,1,21,2116
辽宁,0,21,2000
陕西,1,21,2000
广西,1,21,1000
广东,0,21,1000
江苏,0,21,1000
海南,1,21,2000
江苏,1,21,1001
黑龙江,1,21,1
河北,1,21,1000
辽宁,1,21,1000
山西,1,21,1000
湖北,1,21,1000
北京,1,21,2000
重庆,1,21,1000
山东,0,21,0
山东,1,21,802
内蒙古,1,21,1
陕西,1,21,901
湖北,0,21,3
四川,0,21,0
浙江,1,21,715.73
新疆,0,21,7110.07
广东,1,21,701.81
山西,0,21,600
广东,1,21,0
广东,0,21,562
湖南,1,21,501
湖北,1,21,500
福建,1,21,703
湖北,0,21,500
广东,1,21,0
浙江,1,21,500
天津,1,21,0
北京,1,21,500
福建,1,21,500
广东,0,21,0
新疆,0,21,0
上海,1,21,1000
浙江,1,21,500
广东,1,21,500
山东,1,21,508.3
广东,0,21,473
辽宁,0,21,1
湖南,0,21,500.81
山东,1,21,400
广东,1,21,1000
广东,0,21,344
河南,1,21,333.26
云南,0,21,902.44
山东,1,21,602.44
广东,1,21,400.81
福建,1,21,300
江苏,1,21,1
安徽,1,21,300
北京,1,21,0
青海,1,21,300
福建,0,21,200
福建,1,21,401.63
浙江,1,21,405.25
广东,0,21,300.81
河南,1,21,301.81
内蒙古,0,21,200
河北,1,21,216
浙江,1,21,100
广西,0,21,202
广东,1,21,200
四川,1,21,200
湖北,0,21,200
海南,1,21,200
四川,0,21,190
湖南,0,21,150
广东,0,21,140
天津,0,21,133
浙江,0,21,132
吉林,0,21,106
河北,1,21,101
湖北,1,21,102
山东,1,21,100
福建,1,21,100
北京,1,21,100
江西,1,21,200.81
江苏,1,21,200.81
广东,1,21,200.81
广东,1,21,100
浙江,0,21,206.44
广东,1,21,100
陕西,1,21,100
吉林,1,21,100
江苏,0,21,2
重庆,1,21,100
湖南,1,21,0
广东,1,21,100
广西,0,21,0
重庆,0,21,0
黑龙江,1,21,0
海南,1,21,200
浙江,0,21,100
湖北,1,21,0
湖南,0,21,0
江西,0,21,2103
山东,1,21,100
广东,0,21,102
吉林,1,21,100
安徽,1,21,18
广西,1,21,100
浙江,0,21,100
浙江,0,21,100
福建,1,21,1
广东,1,21,1
黑龙江,0,21,100
浙江,1,21,100
江苏,0,21,101
广东,0,21,5100
上海,0,21,1205
广东,1,21,100
贵州,0,21,100
广东,0,21,100
上海,0,21,0
广西,1,21,100
上海,0,21,100
河北,1,21,1002
四川,0,21,103
内蒙古,1,21,100
山东,0,21,100
河北,1,21,100
内蒙古,1,21,100
吉林,0,21,100
广东,1,21,100
广西,1,21,102
江苏,0,21,0
